Buffy Summers
Xander Harris
Willow Rosenberg
Rupert Giles
Spike
Anya
Dawn Summers
Angel
Joyce Summers
Cordelia Chase
Tara Maclay
Riley Finn
Jonathan Levinson
Andrew Wells
Faith Lehane
Principal Snyder
Drusilla
Warren Meers
Jenny Calendar
Mayor Richard Wilkins
Principal Robin Wood
Glory
Slayer Kennedy
Graham Miller
Slayer Amanda
Wesley Wyndam-Pryce
Adam The Cyborg
Professor Maggie Walsh
The Master
Amy Madison
Slayer Rona
Devon MacLeish
Clem
Slayer Vi
Halfrek
Collin
Darla
Harmony
Oz
Mr. Trick
Willy the Snitch
Principal Bob Flutie
Ethan Rayne
D'Hoffryn
Slayer Kendra
Dracula
Charles Gunn
Lorne
Winifred Burkle
Lilah Morgan
Connor
Lindsey McDonald
Detective Kate Lockley
Daniel Holtz
Eve
The Groosalugg
Holland Manners
Skip
2,Buffy Summers,Xander Harris
2,Buffy Summers,Willow Rosenberg
1,Buffy Summers,Rupert Giles
1,Buffy Summers,Dawn Summers
1,Buffy Summers,Joyce Summers
-1,Buffy Summers,Angel
-1,Buffy Summers,Riley Finn
-1,Buffy Summers,Jonathan Levinson
-1,Buffy Summers,Andrew Wells
-1,Buffy Summers,Faith Lehane
-1,Buffy Summers,Spike
-2,Buffy Summers,Principal Snyder
-2,Buffy Summers,Drusilla
-1,Buffy Summers,Angel
-1,Buffy Summers,Riley Finn
-1,Buffy Summers,Jonathan Levinson
-1,Buffy Summers,Andrew Wells
-1,Buffy Summers,Faith Lehane
-1,Buffy Summers,Spike
-1,Buffy Summers,Jenny Calendar
-2,Buffy Summers,Warren Meers
-1,Buffy Summers,Angel
-1,Buffy Summers,Riley Finn
-1,Buffy Summers,Jonathan Levinson
-1,Buffy Summers,Andrew Wells
-1,Buffy Summers,Faith Lehane
-1,Buffy Summers,Spike
-1,Buffy Summers,Jenny Calendar
-1,Buffy Summers,Angel
-1,Buffy Summers,Riley Finn
-1,Buffy Summers,Jonathan Levinson
-1,Buffy Summers,Andrew Wells
-1,Buffy Summers,Faith Lehane
-1,Buffy Summers,Spike
-1,Buffy Summers,Jenny Calendar
-1,Buffy Summers,Principal Robin Wood
-1,Buffy Summers,Wesley Wyndam-Pryce
-2,Buffy Summers,Mayor Richard Wilkins
-2,Buffy Summers,Glory
-2,Buffy Summers,Adam The Cyborg
-2,Buffy Summers,Professor Maggie Walsh
-1,Buffy Summers,Angel
-1,Buffy Summers,Riley Finn
-1,Buffy Summers,Jonathan Levinson
-1,Buffy Summers,Andrew Wells
-1,Buffy Summers,Faith Lehane
-1,Buffy Summers,Spike
-1,Buffy Summers,Jenny Calendar
-1,Buffy Summers,Principal Robin Wood
-1,Buffy Summers,Wesley Wyndam-Pryce
-1,Buffy Summers,Willy the Snitch
-1,Buffy Summers,Principal Bob Flutie
-1,Buffy Summers,Dracula
-1,Buffy Summers,undefined
-1,Buffy Summers,Angel
-1,Buffy Summers,Riley Finn
-1,Buffy Summers,Jonathan Levinson
-1,Buffy Summers,Andrew Wells
-1,Buffy Summers,Faith Lehane
-1,Buffy Summers,Spike
-1,Buffy Summers,Jenny Calendar
-1,Buffy Summers,Principal Robin Wood
-1,Buffy Summers,Wesley Wyndam-Pryce
-1,Buffy Summers,Willy the Snitch
-1,Buffy Summers,Principal Bob Flutie
-1,Buffy Summers,Dracula
