Buffy Summers, Xander Harris, +1
Buffy Summers, Willow Rosenberg, +1
Buffy Summers, Rupert Giles, +1
Buffy Summers, Spike, -1
Buffy Summers, Anya, 0
Buffy Summers, Dawn Summers, +1
Buffy Summers, Angel, -1
Buffy Summers, Joyce Summers, +1
Buffy Summers, Cordelia Chase, 0
Buffy Summers, Tara Maclay, 0
Buffy Summers, Daniel Osbourne, 0
Buffy Summers, Riley Finn, -1
Buffy Summers, Jonathan Levinson, 0
Buffy Summers, Andrew Wells, 0
Buffy Summers, Faith Lehane, 0
Buffy Summers, Principal Snyder, -1
Buffy Summers, Drusilla, 0
Buffy Summers, Warren Meers, 0
Buffy Summers, Harmony Kendall, 0
Buffy Summers, Jenny Calendar, 0
Buffy Summers, Mayor Richard Wilkins, -1
Buffy Summers, Principal Robin Wood, -1
Buffy Summers, Glory, -1
Buffy Summers, Kennedy, 0
Buffy Summers, Graham Miller, 0
Buffy Summers, Amanda, 0
Buffy Summers, Wesley Wyndam-Pryce, 0
Buffy Summers, Adam The Cyborg, -1
Buffy Summers, Professor Maggie Walsh, -1
Buffy Summers, The Master, -1
Buffy Summers, Amy Madison, 0
Buffy Summers, Rona, 0
Buffy Summers, Devon MacLeish, 0
Buffy Summers, Clem, 0
Buffy Summers, Vi, 0
Buffy Summers, Halfrek, 0
Buffy Summers, Collin, 0
Buffy Summers, Darla, -1
Buffy Summers, Harmony, -1
Buffy Summers, Oz, 0
Buffy Summers, Mr. Trick, -1
Buffy Summers, Willy the Snitch, 0
Buffy Summers, Principal Bob Flutie, 0
Buffy Summers, Ethan Rayne, -1
Buffy Summers, D'Hoffryn, 0
Buffy Summers, Kendra, 0
Buffy Summers, Dracula, 0
Buffy Summers, Charles Gunn, 0
Buffy Summers, Lorne, 0
Buffy Summers, Winifred Burkle, 0
Buffy Summers, Lilah Morgan, 0
Buffy Summers, Connor, 0
Buffy Summers, Lindsey McDonald, 0
Buffy Summers, Detective Kate Lockley, 0
Buffy Summers, Daniel Holtz, 0
Buffy Summers, Eve, 0
Buffy Summers, The Groosalugg, 0
Buffy Summers, Holland Manners, 0
Buffy Summers, Skip, 0
Buffy Summers, Ben "Human Prison" Wilkenson, 0
Xander Harris, Buffy Summers, +1
Xander Harris, Willow Rosenberg, +1
Xander Harris, Rupert Giles, +1
Xander Harris, Spike, 0
Xander Harris, Anya, +1
Xander Harris, Dawn Summers, +1
Xander Harris, Angel, 0
Xander Harris, Joyce Summers, +1
Xander Harris, Cordelia Chase, 0
Xander Harris, Tara Maclay, 0
Xander Harris, Daniel Osbourne, 0
Xander Harris, Riley Finn, 0
Xander Harris, Jonathan Levinson, 0
Xander Harris, Andrew Wells, 0
Xander Harris, Faith Lehane, 0
Xander Harris, Principal Snyder, 0
Xander Harris, Drusilla, 0
Xander Harris, Warren Meers, 0
Xander Harris, Harmony Kendall, 0
Xander Harris, Jenny Calendar, 0
Xander Harris, Mayor Richard Wilkins, 0
Xander Harris, Principal Robin Wood, 0
Xander Harris, Glory, 0
Xander Harris, Kennedy, 0
Xander Harris, Graham Miller, 0
Xander Harris, Amanda, 0
Xander Harris, Wesley Wyndam-Pryce, 0
Xander Harris, Adam The Cyborg, 0
Xander Harris, Professor Maggie Walsh, 0
Xander Harris, The Master, 0
Xander Harris, Amy Madison, 0
Xander Harris, Rona, 0
Xander Harris, Devon MacLeish, 0
Xander Harris, Clem, 0
Xander Harris, Vi, 0
Xander Harris, Halfrek, 0
Xander Harris, Collin, 0
Xander Harris, Darla, 0
